Rxn name;Rxn description;Formula;Formula;Gene-reaction association;Genes;Proteins;Subsystem;Reversible;LB;UB;Objective;Confidence Score;EC Number;Notes;References
EDA;2 dehydro 3 deoxy phosphogluconate aldolase;2ddg6p[c]  -> pyr[c] + g3p[c] ;cpd02711  -> cpd00020 + cpd00102 ;;;;Glycolysis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
EDD;6 phosphogluconate dehydratase;6pgc[c]  -> h2o[c] + 2ddg6p[c] ;cpd00284  -> cpd00001 + cpd02711 ;;;;Glycolysis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
ENO;enolase;2pg[c]  <=> h2o[c] + pep[c] ;cpd00482  <=> cpd00001 + cpd00061 ;;;;Gluconeogenesis;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ETHSO3abcpp;ethanesulfonate transport via ABC system periplasm ;atp[c] + h2o[c] + ethso3[p]  -> h[c] + adp[c] + pi[c] + ethso3[c] ;cpd00002 + cpd00001 + cpd11579  -> cpd00067 + cpd00008 + cpd00009 + cpd11579 ;;;;Transport;0;0;1000;0;2;;Based on iJN746;PMID:18793442
ETHSO3tex;ethanesulfonate transport via diffusion extracellular to periplasm ;ethso3[e]  <=> ethso3[p] ;cpd11579  <=> cpd11579 ;;;;Transport;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
FACOAL100t2pp;fatty acid CoA ligase decanoate transport via vectoral Co A coupling ;atp[c] + h[p] + coa[c] + dca[p]  -> h[c] + amp[c] + ppi[c] + dcacoa[c] ;cpd00002 + cpd00067 + cpd00010 + cpd01107  -> cpd00067 + cpd00018 + cpd00012 + cpd03128 ;;;;Fatty Acid Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FACOAL120t2pp;fatty acid CoA ligase dodecanoate transport via vectoral Co A coupling ;atp[c] + h[p] + coa[c] + ddca[p]  -> h[c] + amp[c] + ppi[c] + ddcacoa[c] ;cpd00002 + cpd00067 + cpd00010 + cpd01741  -> cpd00067 + cpd00018 + cpd00012 + cpd01260 ;;;;Fatty Acid Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FACOAL140t2pp;fatty acid CoA ligase tetradecanoate transport via vectoral Co A coupling ;atp[c] + h[p] + coa[c] + ttdca[p]  -> h[c] + amp[c] + ppi[c] + tdcoa[c] ;cpd00002 + cpd00067 + cpd00010 + cpd03847  -> cpd00067 + cpd00018 + cpd00012 + cpd01695 ;;;;Fatty Acid Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FACOAL160t2pp;fatty acid CoA ligase hexadecanoate transport via vectoral Co A coupling ;atp[c] + h[p] + coa[c] + hdca[p]  -> h[c] + amp[c] + ppi[c] + pmtcoa[c] ;cpd00002 + cpd00067 + cpd00010 + cpd00214  -> cpd00067 + cpd00018 + cpd00012 + cpd00134 ;;;;Fatty Acid Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FACOAL60t2pp;fatty acid CoA ligase hexanoate transport via vectoral Co A coupling ;atp[c] + h[p] + coa[c] + hxa[p]  -> h[c] + amp[c] + ppi[c] + hxcoa[c] ;cpd00002 + cpd00067 + cpd00010 + cpd01113  -> cpd00067 + cpd00018 + cpd00012 + cpd03124 ;;;;Fatty Acid Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FACOAL80t2pp;fatty acid CoA ligase octanoate transport via vectoral Co A coupling ;atp[c] + h[p] + coa[c] + octa[p]  -> h[c] + amp[c] + ppi[c] + occoa[c] ;cpd00002 + cpd00067 + cpd00010 + cpd03846  -> cpd00067 + cpd00018 + cpd00012 + cpd01335 ;;;;Fatty Acid Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FALDDH;quinohemoprotein alcohol dehydrogenase;o2[c] + 2 focytc[c] + 2 fald[c]  -> 4 h[c] + 2 for[c] + 2 cytcc[c] ;cpd00007 + 2 cpd00110 + 2 cpd00055  -> 4 cpd00067 + 2 cpd00047 + 2 cpd00410 ;;;;Methane Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FBA;fructose bisphosphate aldolase;fdp[c]  <=> g3p[c] + dhap[c] ;cpd00290  <=> cpd00102 + cpd00095 ;;;;Glycolysis;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
FBP;fructose bisphosphatase;h2o[c] + fdp[c]  -> pi[c] + f6p[c] ;cpd00001 + cpd00290  -> cpd00009 + cpd00072 ;;;;Glycolysis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FCLT;Ferrochelatase;fe2[c] + ppp9[c]  -> 2 h[c] + pheme[c] ;cpd00021 + cpd01476  -> 2 cpd00067 + cpd00028 ;PSPTO_1128;PSPTO_1128;hemH;Porphyrin and Chlorophyll Metabolism;0;0;1000;0;2;4.99.1.1;Based on iJN746;PMID:18793442
FCOAHA;enoyl coa hydratasealdolase;h2o[c] + ferulcoa[c]  -> accoa[c] + vanln[c] ;cpd00001 + cpd00321  -> cpd00022 + cpd00561 ;;;;B Ketoadipate pathway;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FDH;formate dehydrogenase;nad[c] + for[c]  -> co2[c] + nadh[c] ;cpd00003 + cpd00047  -> cpd00011 + cpd00004 ;;;;Methane Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FDMO;FMNH2 dependent monooxygenase;o2[c] + fmnh2[c] + isetac[c]  -> h[c] + h2o[c] + so3[c] + gcald[c] + fmn[c] ;cpd00007 + cpd01270 + cpd03048  -> cpd00067 + cpd00001 + cpd00081 + cpd00229 + cpd00050 ;PSPTO_3466 or PSPTO_1795;PSPTO_3466 or PSPTO_1795;ssuD;Sulfur Metabolism;0;0;1000;0;2;1.14.14.5;Based on iJN746;PMID:18793442
FDMO2;FMNH2 dependent monooxygenase methanesulfonate ;o2[c] + fmnh2[c] + mso3[c]  -> h[c] + h2o[c] + so3[c] + fald[c] + fmn[c] ;cpd00007 + cpd01270 + cpd08023  -> cpd00067 + cpd00001 + cpd00081 + cpd00055 + cpd00050 ;;;;Sulfur Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FDMO3;FMNH2 dependent monooxygenase ethanesulfonate ;o2[c] + ethso3[c] + fmnh2[c]  -> h[c] + h2o[c] + acald[c] + so3[c] + fmn[c] ;cpd00007 + cpd11579 + cpd01270  -> cpd00067 + cpd00001 + cpd00071 + cpd00081 + cpd00050 ;;;;Sulfur Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FDMO5;FMNH2 dependent monooxygenase pentanesulfonate ;o2[c] + fmnh2[c] + pentso3[c]  -> h[c] + h2o[c] + so3[c] + fmn[c] + ptal[c] ;cpd00007 + cpd01270 + cpd16742  -> cpd00067 + cpd00001 + cpd00081 + cpd00050 + cpd15621 ;;;;Sulfur Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FDMOtau;FMNH2 dependent monooxygenase;o2[c] + fmnh2[c] + taur[c]  -> h[c] + h2o[c] + so3[c] + fmn[c] + aacald[c] ;cpd00007 + cpd01270 + cpd00210  -> cpd00067 + cpd00001 + cpd00081 + cpd00050 + cpd04122 ;;;;Sulfur Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FE2abc;iron II transport via ABC system;atp[c] + h2o[c] + fe2[e]  -> h[c] + adp[c] + pi[c] + fe2[c] ;cpd00002 + cpd00001 + cpd00021  -> cpd00067 + cpd00008 + cpd00009 + cpd00021 ;;;;Transport;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FERULCOAS;feruloyl coenzyme A synthetase AMP forming ;atp[c] + coa[c] + fer[c]  -> amp[c] + ppi[c] + ferulcoa[c] ;cpd00002 + cpd00010 + cpd01059  -> cpd00018 + cpd00012 + cpd00321 ;PSPTO_2941;PSPTO_2941;fcs;B Ketoadipate pathway;0;0;1000;0;2;6.2.1.34;Based on iJN746;PMID:18793442
FMETTRS;Methionyl tRNA formyltransferase;10fthf[c] + mettrna[c]  -> h[c] + thf[c] + fmettrna[c] ;cpd00201 + cpd12105  -> cpd00067 + cpd00087 + cpd12285 ;;;;Methionine Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FMNAT;FMN adenylyltransferase;h[c] + atp[c] + fmn[c]  -> ppi[c] + fad[c] ;cpd00067 + cpd00002 + cpd00050  -> cpd00012 + cpd00015 ;;;;Riboflavin Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FMNRx2;FMN reductase;h[c] + nadph[c] + fmn[c]  -> nadp[c] + fmnh2[c] ;cpd00067 + cpd00005 + cpd00050  -> cpd00006 + cpd01270 ;PSPTO_3708  or PSPTO_1153  or PSPTO_2659  or PSPTO_2672;PSPTO_3708. PSPTO_1153. PSPTO_2659. PSPTO_2672;;Sulfur Metabolism;0;0;1000;0;2;1.5.1.39;Based on iJN746;PMID:18793442
FOLD3;dihydropteroate synthase;4abz[c] + 2ahhmd[c]  -> ppi[c] + dhpt[c] ;cpd00443 + cpd02920  -> cpd00012 + cpd00683 ;PSPTO_4496;PSPTO_4496;folP ;Folate Biosynthesis;0;0;1000;0;2;2.5.1.15;Based on iJN746;PMID:18793442
FORGLUIH;N formimino L glutamate inimohydrolase;2 h[c] + h2o[c] + forglu[c]  -> nh3[c] + Nforglu[c] ;2 cpd00067 + cpd00001 + cpd00344  -> cpd00013 + cpd00770 ;;;;Histidine Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FRUK_r;fructose 1 phosphate kinase reversible;atp[c] + f1p[c]  <=> h[c] + adp[c] + fdp[c] ;cpd00002 + cpd00802  <=> cpd00067 + cpd00008 + cpd00290 ;;;;Fructose Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
FRUpts;D fructose transport via PEPPyr PTS;pep[c] + fru[e]  -> pyr[c] + f1p[c] ;cpd00061 + cpd00082  -> cpd00020 + cpd00802 ;;;;Fructose Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FTHFD;formyltetrahydrofolate deformylase;h2o[c] + 10fthf[c]  -> h[c] + thf[c] + for[c] ;cpd00001 + cpd00201  -> cpd00067 + cpd00087 + cpd00047 ;;;;One Carbon pool by folate;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FUM;fumarase;h2o[c] + fum[c]  <=> mal_L[c] ;cpd00001 + cpd00106  <=> cpd00130 ;PSPTO_4339 or PSPTO_4461 or PSPTO_1731;PSPTO_4339 or PSPTO_4461 or PSPTO_1731;;TCA Cycle;1;-1000;1000;0;2;4.2.1.2;Based on iJN746;PMID:18793442
FUMAC;fumarylacetoacetase;h2o[c] + 4fumacac[c]  -> h[c] + fum[c] + acac[c] ;cpd00001 + cpd00780  -> cpd00067 + cpd00106 + cpd00142 ;;;;Homogentisate Pathway;0;0;1000;0;2;;Based on iJN746;PMID:18793442
FUMt2_2pp;Fumarate transport via proton symport 2 H periplasm ;2 h[p] + fum[p]  -> 2 h[c] + fum[c] ;2 cpd00067 + cpd00106  -> 2 cpd00067 + cpd00106 ;;;;Transport;0;0;1000;0;2;;Based on iJN746;PMID:18793442
G1PACT;glucosamine 1 phosphate N acetyltransferase;accoa[c] + gam1p[c]  -> h[c] + coa[c] + acgam1p[c] ;cpd00022 + cpd03671  -> cpd00067 + cpd00010 + cpd02611 ;Pspto_5597;Pspto_5597;glmU;Aminosugar Metabolism ;0;0;1000;0;2;2.3.1.157;Based on iJN746;PMID:18793442
G1SATi;glutamate 1 semialdehyde aminotransferase;glu1sa[c]  -> 5aop[c] ;cpd02345  -> cpd00338 ;PSPTO_4800;PSPTO_4800;hemL;Porphyrin and Chlorophyll Metabolism;0;0;1000;0;2;5.4.3.8;Based on iJN746;PMID:18793442
G3PAT120;glycerol 3 phosphate acyltransferase C120 ;ddcaACP[c] + glyc3p[c]  -> ACP[c] + 1ddecg3p[c] ;cpd11468 + cpd00080  -> cpd11493 + cpd15325 ;;;;Glycerophospholipid Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
G3PAT160;glycerol 3 phosphate acyltransferase C160 ;palmACP[c] + glyc3p[c]  -> ACP[c] + 1hdecg3p[c] ;cpd15277 + cpd00080  -> cpd11493 + cpd15327 ;;;;Glycerophospholipid Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
G3PAT161;glycerol 3 phosphate acyltransferase C161 ;hdeACP[c] + glyc3p[c]  -> ACP[c] + 1hdec9eg3p[c] ;cpd15239 + cpd00080  -> cpd11493 + cpd15326 ;;;;Glycerophospholipid Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
G3PAT180;glycerol 3 phosphate acyltransferase C180 ;ocdcaACP[c] + glyc3p[c]  -> ACP[c] + 1odecg3p[c] ;cpd11573 + cpd00080  -> cpd11493 + cpd15329 ;;;;Glycerophospholipid Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
G3PAT181;glycerol 3 phosphate acyltransferase C181 ;octeACP[c] + glyc3p[c]  -> ACP[c] + 1odec11eg3p[c] ;cpd11825 + cpd00080  -> cpd11493 + cpd15328 ;;;;Glycerophospholipid Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
G3PD;glycerol 3 phosphate dehydrogenase FAD ;fad[c] + glyc3p[c]  -> fadh2[c] + dhap[c] ;cpd00015 + cpd00080  -> cpd00982 + cpd00095 ;;;;Glycerophospholipid Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
G3PD2;glycerol 3 phosphate dehydrogenase NADP ;nadp[c] + glyc3p[c]  <=> h[c] + nadph[c] + dhap[c] ;cpd00006 + cpd00080  <=> cpd00067 + cpd00005 + cpd00095 ;;;;Glycerophospholipid Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
G5SD;glutamate 5 semialdehyde dehydrogenase;h[c] + nadph[c] + glu5p[c]  -> nadp[c] + pi[c] + glu5sa[c] ;cpd00067 + cpd00005 + cpd02097  -> cpd00006 + cpd00009 + cpd00858 ;Pspto_4829;Pspto_4829;proA;Arginine and Proline Metabolism;0;0;1000;0;2;1.2.1.41;Based on iJN746;PMID:18793442
G6PBDH;beta D Glucose 6 phosphateNADP 1 oxoreductase;nadp[c] + g6p_B[c]  -> h[c] + nadph[c] + 6pgl[c] ;cpd00006 + cpd00863  -> cpd00067 + cpd00005 + cpd00911 ;PSPTO_1300 or PSPTO_3121;PSPTO_1300. PSPTO_3121;zwf-1. zwf-2;Glycolysis;0;0;1000;0;2;1.1.1.49;Based on iJN746;PMID:18793442
G6PDH2;glucose 6 phosphate dehydrogenase;nadp[c] + g6p[c]  -> h[c] + nadph[c] + 6pgl[c] ;cpd00006 + cpd00079  -> cpd00067 + cpd00005 + cpd00911 ;;;;Glycolysis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
G6PI;Glucose 6 phosphate isomerase;g6p[c]  <=> g6p_B[c] ;cpd00079  <=> cpd00863 ;;;;Pentose Phosphate Pathway;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
GADOX;Gallic acid dioxygenase;o2[c] + ga[c]  -> 2 h[c] + omaketo[c] ;cpd00007 + cpd01020  -> 2 cpd00067 + cpd16739 ;;;;Gallic acid Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GADktpp;gluconate 2 dehydrogenase periplasm ;fad[c] + glcn[p]  <=> 2dhglcn[p] + fadh2[c] ;cpd00015 + cpd00222  <=> cpd00480 + cpd00982 ;;;;Glycolysis;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
GALU;UTP glucose 1 phosphate uridylyltransferase;h[c] + utp[c] + g1p[c]  <=> ppi[c] + udpg[c] ;cpd00067 + cpd00062 + cpd00089  <=> cpd00012 + cpd00026 ;;;;Glycolysis;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
GAPD;glyceraldehyde 3 phosphate dehydrogenase;pi[c] + nad[c] + g3p[c]  <=> h[c] + nadh[c] + 13dpg[c] ;cpd00009 + cpd00003 + cpd00102  <=> cpd00067 + cpd00004 + cpd00203 ;;;;Gluconeogenesis;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
GARFT;phosphoribosylglycinamide formyltransferase;10fthf[c] + gar[c]  <=> h[c] + thf[c] + fgam[c] ;cpd00201 + cpd02394  <=> cpd00067 + cpd00087 + cpd02678 ;;;;One Carbon pool by folate;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
GART;GAR transformylase T;atp[c] + for[c] + gar[c]  -> h[c] + adp[c] + pi[c] + fgam[c] ;cpd00002 + cpd00047 + cpd02394  -> cpd00067 + cpd00008 + cpd00009 + cpd02678 ;;;;Purine Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GF6PTA;glutamine fructose 6 phosphate transaminase;gln_L[c] + f6p[c]  -> glu_L[c] + gam6p[c] ;cpd00053 + cpd00072  -> cpd00023 + cpd00288 ;;;;Glutamate Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GHMT2r;glycine hydroxymethyltransferase reversible;thf[c] + ser_L[c]  <=> h2o[c] + gly[c] + mlthf[c] ;cpd00087 + cpd00054  <=> cpd00001 + cpd00033 + cpd00125 ;;;;Glycine Serine and threonine metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
GK1;guanylate kinase GMPATP ;atp[c] + gmp[c]  <=> adp[c] + gdp[c] ;cpd00002 + cpd00126  <=> cpd00008 + cpd00031 ;;;;Purine Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
GLCDpp;Glucose dehydrogenase ubiquinone 8 as acceptor periplasm ;q8[c] + glc_D[p] + h2o[p]  -> h[p] + q8h2[c] + glcn[p] ;cpd15560 + cpd00027 + cpd00001  -> cpd00067 + cpd15561 + cpd00222 ;;;;Glycolysis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GLCNt2rpp;D gluconate transport via proton symport reversible periplasm ;h[p] + glcn[p]  <=> h[c] + glcn[c] ;cpd00067 + cpd00222  <=> cpd00067 + cpd00222 ;;;;Transport;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
GLCOASYNT;Glutaryl CoAdihydrolipoamide S succinyltransferase;coa[c] + S_gtrdhdlp[c]  -> dhlam[c] + glutcoa[c] ;cpd00010 + cpd03672  -> cpd00449 + cpd00413 ;;;;Lysine Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GLCabcpp;D glucose transport via ABC system periplasm ;atp[c] + h2o[c] + glc_D[p]  -> h[c] + adp[c] + pi[c] + glc_D[c] ;cpd00002 + cpd00001 + cpd00027  -> cpd00067 + cpd00008 + cpd00009 + cpd00027 ;;;;Transport;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GLCtex;glucose transport via diffusion extracellular to periplasm ;glc_D[e]  <=> glc_D[p] ;cpd00027  <=> cpd00027 ;;;;Glycolysis;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
GLNS;glutamine synthetase;atp[c] + glu_L[c] + nh4[c]  -> h[c] + adp[c] + pi[c] + gln_L[c] ;cpd00002 + cpd00023 + cpd00013  -> cpd00067 + cpd00008 + cpd00009 + cpd00053 ;PSPTO_5309 or PSPTO_5310 or PSPTO_1921 or PSPTO_0359;PSPTO_5309. PSPTO_5310. PSPTO_1921. PSPTO_0359;;Glutamate Metabolism;0;0;1000;0;2;6.3.1.2;Based on iJN746;PMID:18793442
GLNTRAT;glutamyl tRNA Gln amidotransferase;atp[c] + h2o[c] + gln_L[c] + glutrna_gln_[c]  -> h[c] + adp[c] + pi[c] + glu_L[c] + glntrna[c] ;cpd00002 + cpd00001 + cpd00053 + cpd12828  -> cpd00067 + cpd00008 + cpd00009 + cpd00023 + cpd12060 ;PSPTO_4474 and PSPTO_4475 and PSPTO_4473;PSPTO_4474. PSPTO_4475. PSPTO_4473);gatA. gatB. gatC;Glutamate Metabolism;0;0;1000;0;2;6.3.5.7;Based on iJN746;PMID:18793442
GLNTRS;Glutaminyl tRNA synthetase;atp[c] + gln_L[c] + trnagln[c]  -> amp[c] + ppi[c] + glntrna[c] ;cpd00002 + cpd00053 + cpd11911  -> cpd00018 + cpd00012 + cpd12060 ;PSPTO_3743;PSPTO_3743;glnS;Glutamate Metabolism;0;0;1000;0;2;6.1.1.18;Based on iJN746;PMID:18793442
GLU5K;glutamate 5 kinase;atp[c] + glu_L[c]  -> adp[c] + glu5p[c] ;cpd00002 + cpd00023  -> cpd00008 + cpd02097 ;Pspto_0800;Pspto_0800;proB;Urea cycleamino group metabolism;0;0;1000;0;2;2.7.2.11;Based on iJN746;PMID:18793442
GLUCYS;gamma glutamylcysteine synthetase;atp[c] + glu_L[c] + cys_L[c]  -> h[c] + adp[c] + pi[c] + glucys[c] ;cpd00002 + cpd00023 + cpd00084  -> cpd00067 + cpd00008 + cpd00009 + cpd00506 ;PSPTO_0325;PSPTO_0325;gshA;Glutamate Metabolism;0;0;1000;0;2;6.3.2.2;Based on iJN746;PMID:18793442
GLUDC;Glutamate Decarboxylase;h[c] + glu_L[c]  -> co2[c] + 4abut[c] ;cpd00067 + cpd00023  -> cpd00011 + cpd00281 ;;;;Glutamate Metabolism ;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GLUN;glutaminase;h2o[c] + gln_L[c]  -> glu_L[c] + nh4[c] ;cpd00001 + cpd00053  -> cpd00023 + cpd00013 ;;;;Glutamate Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GLUPRT;glutamine phosphoribosyldiphosphate amidotransferase;h2o[c] + gln_L[c] + prpp[c]  -> ppi[c] + glu_L[c] + pram[c] ;cpd00001 + cpd00053 + cpd00103  -> cpd00012 + cpd00023 + cpd01982 ;PSPTO_3811;PSPTO_3811;purF;Purine metabolism;0;0;1000;0;2;2.4.2.14;Based on iJN746;PMID:18793442
GLUR;glutamate racemase;glu_D[c]  <=> glu_L[c] ;cpd00186  <=> cpd00023 ;PSPTO_1112;PSPTO_1112;murl;Glutamate Metabolism;1;-1000;1000;0;2;5.1.1.3;Based on iJN746;PMID:18793442
GLUSy;glutamate synthase NADPH ;h[c] + nadph[c] + akg[c] + gln_L[c]  -> nadp[c] + 2 glu_L[c] ;cpd00067 + cpd00005 + cpd00024 + cpd00053  -> cpd00006 + 2 cpd00023 ;;;;Glutamate Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GLUTCOADHc;glutaryl CoA dehydrogenase citosol ;h[c] + fad[c] + glutcoa[c]  -> co2[c] + b2coa[c] + fadh2[c] ;cpd00067 + cpd00015 + cpd00413  -> cpd00011 + cpd00650 + cpd00982 ;;;;Lysine Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GLUTRR;glutamyl tRNA reductase;h[c] + nadph[c] + glutrna[c]  -> nadp[c] + glu1sa[c] + trnaglu[c] ;cpd00067 + cpd00005 + cpd12227  -> cpd00006 + cpd02345 + cpd11912 ;PSPTO_1108;PSPTO_1108;hemA;Porphyrin and Chlorophyll Metabolism;0;0;1000;0;2;1.2.1.70;Based on iJN746;PMID:18793442
GLUTRS;Glutamyl tRNA synthetase;atp[c] + glu_L[c] + trnaglu[c]  -> amp[c] + ppi[c] + glutrna[c] ;cpd00002 + cpd00023 + cpd11912  -> cpd00018 + cpd00012 + cpd12227 ;PSPTO_2166;PSPTO_2166;gltX;Glutamate Metabolism;0;0;1000;0;2;6.1.1.17;Based on iJN746;PMID:18793442
GLUabcpp;L glutamate transport via ABC system periplasm ;atp[c] + h2o[c] + glu_L[p]  -> h[c] + adp[c] + pi[c] + glu_L[c] ;cpd00002 + cpd00001 + cpd00023  -> cpd00067 + cpd00008 + cpd00009 + cpd00023 ;;;;Transport;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GLUt4pp;Naglutamate symport periplasm ;glu_L[p] + na1[p]  -> glu_L[c] + na1[c] ;cpd00023 + cpd00971  -> cpd00023 + cpd00971 ;;;;Transport;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GLUtex;L glutamate transport via diffusion extracellular to periplasm ;glu_L[e]  <=> glu_L[p] ;cpd00023  <=> cpd00023 ;;;;Transport;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
GLXCL;glyoxalate carboligase;h[c] + 2 glx[c]  -> co2[c] + 2h3oppan[c] ;cpd00067 + 2 cpd00040  -> cpd00011 + cpd00145 ;;;;Glycolate metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GLYALDtpp;Glyceraldehyde facilitated diffusion periplasm ;glyald[p]  <=> glyald[c] ;cpd00448  <=> cpd00448 ;;;;Glycerophospholipid Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
GLYBabcpp;Glycine betaine transport via ABC system periplasm ;atp[c] + h2o[c] + glyb[p]  -> h[c] + adp[c] + pi[c] + glyb[c] ;cpd00002 + cpd00001 + cpd00540  -> cpd00067 + cpd00008 + cpd00009 + cpd00540 ;;;;Arginine and Proline Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GLYCK;glycerate kinase;atp[c] + glyc_R[c]  -> h[c] + adp[c] + 3pg[c] ;cpd00002 + cpd00223  -> cpd00067 + cpd00008 + cpd00169 ;;;;Glycine Serine and threonine metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GLYCL;Glycine Cleavage System;nad[c] + thf[c] + gly[c]  -> co2[c] + nadh[c] + nh4[c] + mlthf[c] ;cpd00003 + cpd00087 + cpd00033  -> cpd00011 + cpd00004 + cpd00013 + cpd00125 ;;;;Glycine Serine and threonine metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GLYCLTt2rpp;glycolate transport via proton symport reversible periplasm ;h[p] + glyclt[p]  <=> h[c] + glyclt[c] ;cpd00067 + cpd00139  <=> cpd00067 + cpd00139 ;;;;Transport;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
GLYCL_2;glycine cleavage system cytosol;co2[c] + nadh[c] + nh4[c] + mlthf[c]  -> nad[c] + thf[c] + gly[c] ;cpd00011 + cpd00004 + cpd00013 + cpd00125  -> cpd00003 + cpd00087 + cpd00033 ;;;;Nitrogen Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GLYCTO1;Glycolate oxidase;o2[c] + glyclt[c]  -> h2o2[c] + glx[c] ;cpd00007 + cpd00139  -> cpd00025 + cpd00040 ;;;;Glycolate metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GLYCtex;glycerol transport via diffusion extracellular to periplasm ;glyc[e]  <=> glyc[p] ;cpd00100  <=> cpd00100 ;;;;Transport;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
GLYCtpp;glycerol transport via channel periplasm ;glyc[c]  <=> glyc[p] ;cpd00100  <=> cpd00100 ;;;;Glycerophospholipid Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
GLYD;glycerate dehydrogenase;h[c] + nadh[c] + hpyr[c]  <=> nad[c] + glyc_R[c] ;cpd00067 + cpd00004 + cpd00145  <=> cpd00003 + cpd00223 ;;;;Glycine Serine and threonine metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
GLYK;glycerol kinase;atp[c] + glyc[c]  -> h[c] + adp[c] + glyc3p[c] ;cpd00002 + cpd00100  -> cpd00067 + cpd00008 + cpd00080 ;;;;Glycerophospholipid Metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
GLYTRS;Glycyl tRNA synthetase;atp[c] + gly[c] + trnagly[c]  -> amp[c] + ppi[c] + glytrna[c] ;cpd00002 + cpd00033 + cpd11913  -> cpd00018 + cpd00012 + cpd12100 ;;;;Glycine Serine and threonine metabolism;0;0;1000;0;2;;Based on iJN746;PMID:18793442
